output
UMAP1,UMAP2,TSNE1,TSNE2,MDS1,MDS2
-0.81688374,13.024843,73.732544,11.093217,-639995999.2817310,-3399203432.775950
-0.7708943,13.002339,73.732544,11.093217,-640095814.0339120,-3399186537.8915200
-5.2579837,15.394474,73.19069,10.96293,-849320629.9224980,-4682948777.079670
-0.63993144,1.8326403,0.51788443,-64.05127,-793989377.761532,-4334619207.58713
16.211016,-6.398092,49.82222,-27.837751,243675720.81413000,1677228628.2583800
9.032735,0.24132472,18.179829,10.592518,-607411283.6814080,-3201766237.5268400
3.4623284,-7.3456583,18.179829,10.592518,-843653064.5177920,-4633174532.0658700
-4.1356006,17.88938,18.179829,10.592518,-591240820.3022750,-3103026599.3462800
8.027079,16.087482,18.179829,10.592518,-858868622.153452,-4739174938.433960
6.142012,-10.550387,18.179829,10.592518,-554131154.5881920,-2886060025.859630
8.124076,-11.42023,18.179829,10.592518,-541147564.1458600,-2807076121.773800
-4.615523,11.134626,18.179829,10.592518,-599282213.0855570,-3152403924.666450
-3.3088126,8.123307,45.921757,8.527442,-664542536.1111880,-3557409278.071670
13.951464,5.8183603,45.921757,8.527442,965544564.6842320,5613918519.2913
-2.3086612,-1.4878407,45.921757,8.527442,-108351505.03684100,-292677082.36274200
-3.5391564,15.308296,45.921757,8.527442,-847905037.5390300,-4662896713.676020
-6.053774,19.366182,45.921757,8.527442,187834807.70602500,1382276370.0392900
-7.586908,2.5216641,9.215781,-62.00157,-705017913.6820430,-3794101337.2919000
7.8567243,13.807652,9.215781,-62.00157,137760935.03081,1086311189.562670
4.855467,2.123348,9.215781,-62.00157,-713184254.4712830,-3853603508.1642600
16.122303,-6.478924,9.215781,-62.00157,238543891.43592400,1678136024.6043400
-5.971256,-4.1422987,27.01072,66.85011,-533731148.9930960,-2757592270.274490
16.79612,19.865759,27.01072,66.85011,-634604866.2400340,-3369673186.0973200
17.613386,12.784013,27.01072,66.85011,-570343084.3378730,-2977688549.9100000
13.132356,4.039673,27.01072,66.85011,281029470.6646300,1823023239.8513100
14.384001,-0.31323957,27.01072,66.85011,1647715422.3321500,9501959505.906590
0.45472288,7.8881845,27.01072,66.85011,-654159235.8312170,-3476972566.480630
9.81588,14.099728,27.01072,66.85011,-274449173.53069700,-1219440955.0856400
